"","treated_unit","V2","V3","V4","V6","V7","V8","V9","V10","welcome","disclosure","Introcommu","oftenmbta","PoliID","ideology","party","obama","X2010","election","intoviews","numberim","Remain","Englishlan","raceintro","Asians","AfAms","Hispanics","MiddleEast","IntroDemo","Illegal_ma","illegal_us","age","residency","Friends","race_1","race_2","race_3","race_4","race_5","hispanicID","gender","education","citizen","income","Community","Crime","Diverse","wealthcomm","Comments","End","assignment","line","station","train","time","treatment","white","residency.new","liberal","conservative","democract","republican","obama.approve","obama.disapprove","ride.everyday","voted.2010","obama.voter","romney.voter","college","us.born","hispanic.new","income.new","male","missing"
"177","Franklin_Dedham Corp Center_734","Default Response Set","Anonymous",NA,"198.228.205.194",0,"2012-07-18 06:53:49","2012-07-18 07:03:54",1,1,1,1,4,1,2,1,2,2,1,1,3,2,3,1,1,1,1,1,1,7,12,NA,3,7,NA,NA,NA,1,NA,2,2,6,1,NA,1,3,3,3,"",1,"T2a","Franklin","Dedham Corp Center","734","8:52",0,1,7.5,1,0,1,0,1,0,1,0,1,0,1,1,0,175000,0,1
"178","Franklin_Dedham Corp Center_734","Default Response Set","Anonymous",NA,"64.115.151.162",0,"2012-07-19 08:34:40","2012-07-19 08:41:35",1,1,1,1,4,1,3,2,4,1,7,1,3,2,1,1,1,1,1,2,1,1,2,21,2,5,NA,NA,NA,1,NA,2,1,6,1,7,1,3,3,3,"",1,"T2a","Franklin","Dedham Corp Center","734","8:52",0,1,3.5,0,0,0,0,0,1,1,0,0,1,1,1,0,135000,1,1
"179","Franklin_Dedham Corp Center_734","Default Response Set","Anonymous",NA,"98.197.250.76",0,"2012-08-08 00:52:26","2012-08-08 00:58:13",1,1,1,1,1,1,1,1,2,5,1,1,3,2,2,1,1,1,1,1,1,1,2,15,2,10,NA,NA,NA,1,NA,2,1,6,1,7,1,3,3,4,"",1,"t4c","Franklin","Dedham Corp Center","734","8:52",0,1,3.5,1,0,1,0,1,0,0,1,1,0,1,1,0,135000,1,1
"180","Franklin_Dedham Corp Center_734","Default Response Set","Anonymous",NA,"198.228.206.178",0,"2012-07-18 06:54:28","2012-07-18 07:11:30",1,1,1,1,4,1,2,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,3,17,2,30,NA,NA,NA,1,NA,1,1,6,2,5,1,2,2,2,"",1,"T2b","Franklin","Dedham Corp Center","734","8:52",0,1,3.5,1,0,1,0,1,0,1,0,1,0,1,0,1,87500,1,1
"181","Franklin_Dedham Corp Center_734","Default Response Set","Anonymous",NA,"198.228.204.191",0,"2012-07-18 06:33:53","2012-07-18 06:42:26",1,1,1,1,4,1,3,1,2,5,1,1,3,1,2,1,1,1,1,1,1,2,2,14,6,0,NA,NA,NA,1,NA,2,1,6,1,5,1,3,3,4,"",1,"T2b","Franklin","Dedham Corp Center","734","8:52",0,1,23.0337078651685,0,0,1,0,1,0,1,1,1,0,1,1,0,87500,1,1
"182","Franklin_Dedham Corp Center_734","Default Response Set","Anonymous",NA,"12.53.192.124",0,"2012-07-19 20:38:18","2012-07-19 21:00:30",1,1,1,1,4,1,3,1,3,1,6,1,3,3,1,1,1,1,3,4,1,5,7,21,1,0,1,NA,NA,NA,NA,2,1,6,2,4,1,4,4,4,"",1,"T2a","Franklin","Dedham Corp Center","734","8:52",0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,62500,1,1
"183","Franklin_Dedham Corp Center_734","Default Response Set","Anonymous",NA,"12.53.192.124",0,"2012-07-18 22:23:25","2012-07-18 22:33:11",1,1,1,1,4,1,2,4,1,1,1,1,2,4,3,1,1,1,1,1,1,2,5,22,1,0,1,NA,NA,NA,NA,2,1,5,2,4,1,3,3,3,"",1,"T2b","Franklin","Dedham Corp Center","734","8:52",0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,62500,1,0
"184","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"207.106.143.66",0,"2012-07-19 10:08:25","2012-07-19 10:17:37",1,1,1,1,4,1,1,1,1,5,1,1,1,1,3,1,1,1,1,1,1,1,1,31,4,2,NA,NA,NA,1,NA,2,1,6,1,8,1,3,3,4,"",1,"T2b","Franklin","Norfolk","704","6:19",1,1,12.5,1,0,1,0,1,0,1,1,1,0,1,1,0,250000,1,1
"185","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"12.187.18.14",0,"2012-07-20 08:33:40","2012-07-20 08:40:29",1,1,1,1,4,1,2,1,2,5,1,1,4,4,3,1,1,1,1,1,1,1,2,26,4,0,NA,NA,NA,1,NA,2,2,6,1,6,1,3,4,4,"",1,"T2b","Franklin","Norfolk","704","6:19",1,1,12.5,1,0,1,0,1,0,1,1,1,0,1,1,0,115000,0,1
"186","Franklin_Norfolk_704","Default Response Set","Anonymous",NA,"170.63.50.129",0,"2012-07-18 05:41:02","2012-07-18 05:48:51",1,1,1,1,4,1,4,2,3,1,3,1,3,5,1,1,1,1,1,1,1,8,13,32,5,7,NA,NA,NA,1,NA,2,1,5,1,5,1,4,3,4,"",1,"T2b","Franklin","Norfolk","704","6:19",1,1,8.03370786516854,0,1,0,0,0,0,1,0,0,0,1,1,0,87500,1,0
