"","V2","V3","V4","V6","V7","V8","V9","V10","random","informed","Intro","Age","residency","Friends","MaleFemale","Race_1","Race_2","Race_3","Race_4","Race_5","Hispanic","education","citizen","Work","Income","ideology","partyID","Obama","X2010voting","election","intro2","immigrantN","deport","englishlaw","intro3","Asians","Blacks","Hispanics","MiddleEast","intro4","percentMA","percent_il","face_intro","face8","face8_age","face8_race_1","face8_race_2","face8_race_3","face8_race_4","face8clas","face8_his","face8.1","face8_des","face8_ori","face8.2","face8_loc","face8_job","intro","face9","face9_age","face9_race_1","face9_race_2","face9_race_3","face9_race_4","face9_clas","face9_hisp","face9.1","face9_desc","face9_orig","face9.2","face9_loc","face9_job","face9.3","face10","face10_age","face10race_1","face10race_2","face10race_3","face10race_4","face10clas","face10_hispanc","face10.1","face10desc","face10orig","face10.2","face10loca","face10job","face10inst","face11","face11_age","face11race_1","face11race_2","face11race_3","face11race_4","face11clas","face11_hispanc","face11.1","face11desc","face11orig","face11.2","face11loc","face11job","face11inst","face12","face12_age","face12race_1","face12race_2","face12race_3","face12race_4","fac12class","face12_hispanc","face12.1","face12desc","face12orig","face12.2","face12loc","face12loc.1","face12.3","face13","face13_age","face13race_1","face13race_2","face13race_3","face13race_4","face13clas","face13_hispanc","face13.1","face13desc","face13orig","face13.2","face13loc","face13job","face13inst","face14","face14_age","face14race_1","face14race_2","face14race_3","face14race_4","face14clas","face14_hispanc","face14.1","face14desc","face14orig","face14.2","face14oc","face14job","face14inst","face8.3","face8stud","face8.4","face8_for","face8.5","face8_com","face18_pic","face8_pro","face8.6","face8_ind","face8.7","face8_UE","face8.8","face8_capa","face8.9","face8_imm","face8.10","face8_inti","face8.11","face8_frie","face8.12","face8_app","face8_pic","face8_IQ","face8.13","face8_unus","face8.14","face8_norm","face8.15","face8_suc","face8.16","face8_weal","face8.17","face8_youn","comments","face9.4","face9_stud","face9.5","face9_fore","face9.6","face9_comm","face9.7","face9_prof","face9.8","face9_indu","face9.9","face9_UE","face9.10","face9_cap","face9.11","face9_imm","face9.12","face0intim","face9.13","face9_frie","face9_pic","face9_appr","face9.14","face9_IQ","face9.15","face9_unus","face9.16","face9_norm","face9.17","face9_succ","face9.18","face9_youn","face9.19","face9_weal","face10.3","face10stud","face10.4","face10_for","face10.5","face10_com","face10pic","face10_prof","face10.6","face10_ind","face10.7","face10_UE","face10.8","face10_cap","face10.9","face10_imm","face10.10","face10inti","face10.11","face10appr","face10.12","face10_IQ","face10.13","face10unus","face10.14","face10_norm","face10.15","face10succ","face10.16","face10weal","face10.17","face10youn","face10.18","face10_frie","face11.3","face11stud","face11.4","face11_for","face11.6","face11_com","face11.7","face11_prof","face11.8","face11_UE","face11.9","face11indu","face11.10","face11capa","face11.11","face11_imm","face11.12","face11inti","face11.13","face11_frie","face11.14","face11appr","face11pic","face11IQ","face11.15","face11unus","face11.16","face11_norm","face11.17","face11succ","face11.18","face11weal","face11.19","face11youn","face12.4","face12_stu","face12.5","face12_for","face12.6","face12_com","face12.7","face12_prof","face12.8","face12indu","face12.9","face12_UE","face12.10","face12_cap","face12.11","face12_imm","face12.12","face12inti","face12.13","face12appr","face12.14","face12_frie","face12.15","face12_norm","face12.16","face12succ","face12.17","face12weal","face12nus","face12unus","face12.18","fac12young","face12.19","face12IQ","face13.3","face13_com","face13.4","face13_student","face13.6","face13_for","face13.7","face13_prof","face13.8","face13indu","face13.9","face13UE","face13.10","face13cap","face13.11","face13_imm","face13.12","face13inti","face13.13","face13_frie","face13.14","face13appr","face13.15","face13IQ","face13.16","face13unus","face13.17","face13_norm","face13.18","face13succ","face13.19","face13weal","face13.20","face13youn","face14.3","face14stud","face14.4","face14_for","face14.6","face14_com","face14.7","face14_prof","face14.8","face14indu","face14.9","face14_UE","face14.10","face14capa","face14.11","face14_imm","face14.12","face14inti","face14.13","face14_frie","face14.14","face14appr","face14.15","face14IQ","face14.16","face14unus","face14.17","face14_norm","face14.18","face14succ","face14.19","face14weal","face14.20","face14youn"
"171","Default Response Set","Anonymous",NA,"69.114.81.117",0,"2013-02-09 17:53:51","2013-02-09 17:59:52",1,4724515,1,NA,2,3,0,1,NA,NA,NA,1,NA,2,3,1,2,5,2,4,3,1,5,1,2,1,4,1,1,1,1,8,1,23,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,4,1,NA,NA,NA,4,0,1,"Medium-short styled blonde hair, cleanly shaven, fair skin tone, thick eyebrows and light eyes. ","United States",1,"Grocery store/department store","Something to do with retail/sales",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,2,1,4,1,2,1,2,1,2,1,3,1,2,1,3,1,3,1,3,1,3,1,3,1,3,1,2,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Default Response Set","Anonymous",NA,"131.247.224.133",0,"2013-02-09 18:36:27","2013-02-09 18:41:24",1,759635,1,NA,2,3,0,1,NA,NA,NA,1,NA,2,3,2,5,3,2,1,3,1,2,1,2,1,5,1,1,3,2,8,1,10,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,8,1,NA,NA,NA,2,0,1,"Plain looking, unshaven, and brown hair, no distinguishing features.","America.",1,"work.","retail",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,1,1,1,1,1,3,1,2,1,2,1,2,1,1,1,3,1,1,1,2,1,2,1,1,1,1,1,2
"173","Default Response Set","Anonymous",NA,"69.155.136.175",0,"2013-02-09 18:33:22","2013-02-09 18:42:39",1,6078715,1,NA,49,5,4,2,NA,NA,NA,1,NA,2,5,1,2,3,2,3,4,5,6,1,3,2,1,1,1,1,2,9,1,30,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,4,1,NA,NA,NA,4,0,1,"She is a white, typical young woman. A student studing to be a professional person.","America",1,"I would expect to find her in school or working at an entry level job.","A clerk in a store.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",1,5,1,2,1,3,1,3,1,4,1,3,1,3,1,2,1,1,1,5,1,4,1,4,1,2,1,5,1,4,1,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Default Response Set","Anonymous",NA,"69.140.107.22",0,"2013-02-09 19:01:34","2013-02-09 19:07:25",1,5907757,1,NA,22,4,0,1,NA,NA,NA,1,NA,2,6,1,1,5,4,2,4,5,1,1,2,2,3,1,1,1,1,9,1,10,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,2,1,NA,NA,NA,3,0,1,"18 year old white male with a crappy attempt at a moustache and wavy brown hair.","Iowa",1,"Working behind the counter at McDonalds","Minimum wage fast food",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,1,1,1,1,1,2,1,2,1,3,1,1,1,1,1,2,1,2,1,2,1,2,1,4,1,2,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Default Response Set","Anonymous",NA,"70.125.47.243",0,"2013-02-09 20:04:55","2013-02-09 20:22:06",1,3120005,1,NA,23,2,0,2,1,NA,NA,NA,NA,2,5,2,3,6,2,3,1,1,7,1,2,2,3,1,1,1,1,8,1,2,22,1,1,7,1,NA,NA,NA,4,0,1,"He is an attractive young man.","Germany",1,"TV","professional player or model",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,3,1,5,1,5,1,5,1,3,1,1,1,5,1,3,1,1,1,5,1,3,1,3,1,1,1,5,1,3,1,3,1,5,"No comment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Default Response Set","Anonymous",NA,"68.42.240.60",0,"2013-02-09 20:29:06","2013-02-09 20:39:44",1,4205222,1,NA,6,3,1,1,NA,NA,NA,1,NA,2,5,1,1,2,4,2,2,5,1,1,2,1,1,1,1,1,1,1,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,17,1,NA,NA,NA,4,0,1,"White female, thick/wavy light brown hair about shoulder length, rounder face","United States",1,"middle class neighborhood area; likely surrounded by individuals in her demographic.","Some sort of office job - cubicle likely.Or in academia ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,1,3,1,3,1,2,1,3,1,4,1,1,1,1,1,4,1,4,1,4,1,1,1,4,1,3,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Default Response Set","Anonymous",NA,"66.71.48.19",0,"2013-02-09 20:36:03","2013-02-09 20:43:03",1,5153382,1,NA,1,3,15,1,NA,NA,NA,1,NA,1,3,1,5,5,2,1,2,4,6,1,5,2,5,1,1,1,1,1,1,38,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,3,1,NA,NA,NA,4,0,1,"White male, stubble, short messy brown curly hair, brown eyes","Utah",1,"In a restaurant, waiting tables, in college/school.","In a restaurant, waiter",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,1,2,1,1,1,2,1,3,1,3,1,3,1,4,1,3,1,3,1,2,1,4,1,3,1,3,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Default Response Set","Anonymous",NA,"74.115.210.193",0,"2013-02-09 20:36:40","2013-02-09 20:47:25",1,2021071,1,NA,17,2,3,2,1,NA,NA,NA,NA,2,5,2,1,2,2,2,2,5,7,1,5,1,2,1,6,4,4,8,1,20,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,5,1,NA,NA,NA,4,0,1,"mid twenties brown hair 5feet 3inches tall mid body size","USA",1,"gloomy person, fun to be with, loving and caring person","library job",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fun survey :)",1,3,1,1,1,5,1,4,1,3,1,1,1,5,1,1,1,1,1,4,1,5,1,5,1,1,1,5,1,4,1,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Default Response Set","Anonymous",NA,"96.239.101.109",0,"2013-02-09 21:05:25","2013-02-09 21:14:22",1,2952768,1,NA,6,2,8,1,NA,NA,NA,1,NA,2,3,1,5,3,2,3,1,1,6,1,5,1,3,1,1,1,1,1,1,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,17,1,NA,NA,NA,2,0,1,"Middle aged, appears to be in the working or middle class. Curly dirty blonde hair. Slightly overweight. ","Maine",1,"Working in a retail store. ","Cashier. ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,1,1,1,3,1,2,1,4,1,1,1,1,1,2,1,3,1,3,1,1,1,5,1,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Default Response Set","Anonymous",NA,"24.251.1.72",0,"2013-02-09 23:36:37","2013-02-09 23:48:07",1,8331247,1,NA,2,3,5,1,NA,NA,NA,NA,1,1,2,2,2,3,2,1,2,4,6,1,2,2,2,1,1,1,1,1,1,10,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,8,1,NA,NA,NA,2,1,1,"This person is a male. He has short brown hair with light brown skin color. He has black/brown eyes.","Sonora, Mexico",1,"At the store","in a general labor job",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,3,1,4,1,2,1,4,1,3,1,5,1,3,1,3,1,2,1,2,1,2,1,2,1,4,1,3,1,3,1,3
